pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,stand,on_3b,on_2b,on_1b,inning,pitch_number,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y
0,2022,4,14,1,2,0,0,0,0,1,2,2,0,1,0,3.41,1.56,0,97.0,-1.82,53.55,6.04,2285.0,6.9,-0.26,1.46,19.0,0.0,13.0,1.0,0.0,0.0
1,2022,4,14,1,2,0,1,0,1,1,2,1,0,0,0,3.24,1.54,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,0,1,0,1,1,2,2,0,1,0,3.3,1.5,0,98.4,-2.27,53.49,5.84,2273.0,7.0,0.67,1.01,19.0,0.0,14.0,1.0,0.0,0.0
1,2022,4,14,1,2,0,1,0,1,1,2,3,0,1,1,3.16,1.56,0,98.5,-2.13,53.62,5.83,2358.0,6.9,0.14,2.78,19.0,9.0,2.0,0.0,0.0,0.0
1,2022,4,14,1,2,0,1,0,1,1,2,4,0,1,2,3.16,1.6,0,99.1,-2.17,53.88,5.9,2215.0,6.6,-0.14,2.78,19.0,2.0,2.0,0.0,0.0,0.0
2,2022,4,14,1,2,0,1,0,1,1,2,5,0,2,2,3.3,1.5,0,98.5,-2.32,53.68,5.94,2168.0,6.8,-0.78,3.55,19.0,0.0,11.0,1.0,0.0,0.0
2,2022,4,14,1,2,0,1,0,1,1,2,1,1,0,0,3.23,1.58,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,0,1,0,1,1,2,2,1,0,1,3.38,1.69,0,80.6,-1.85,53.87,6.15,2491.0,6.6,-0.71,2.05,19.0,2.0,7.0,0.0,0.0,0.0
1,2022,4,14,1,2,0,1,0,1,1,2,3,1,1,1,3.34,1.55,0,99.0,-2.28,53.69,5.88,2260.0,6.8,-1.72,3.71,19.0,0.0,11.0,1.0,0.0,0.0
2,2022,4,14,1,2,0,1,0,1,1,2,4,1,1,2,3.34,1.73,0,98.3,-2.23,53.73,5.92,2338.0,6.8,0.59,2.09,19.0,2.0,9.0,0.0,0.0,0.0
